_id,location_id,ward_no,location,from_street,to_street,direction,installation_date,removal_date,schedule,min_speed,pct_05,pct_10,pct_15,pct_20,pct_25,pct_30,pct_35,pct_40,pct_45,pct_50,pct_55,pct_60,pct_65,pct_70,pct_75,pct_80,pct_85,pct_90,pct_95,spd_00,spd_05,spd_10,spd_15,spd_20,spd_25,spd_30,spd_35,spd_40,spd_45,spd_50,spd_55,spd_60,spd_65,spd_70,spd_75,spd_80,spd_85,spd_90,spd_95,spd_100_and_above,volume,days_with_data,max_date
288744,11660194,14,Logan Ave,Colgate Ave,Dundas st E,SB,2024-01-17,,Weekdays from 7 AM - 9 PM,20,5,6,10,18,23,25,27,29,30,31,32,33,34,35,36,37,38,40,42,,3412,476,712,1216,3133,5517,3963,1532,309,62,7,1,,,,,,,,,20340,15,2024-01-31T00:00:00
288745,11660196,14,Broadview Ave,Danforth Ave,Fulton Ave,SB,2024-01-17,,Weekdays from 7 AM - 9 PM,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,15,2024-01-31T00:00:00
288746,11601573,2,The Kingsway,Kipling Ave,Princess Margaret Blvd,EB,2024-01-17,,Weekdays from 7 AM - 9 PM,20,7,19,25,30,33,35,36,38,39,40,41,42,43,44,45,46,48,49,52,,526,349,639,802,1213,2085,4363,6512,4594,1626,362,65,6,2,1,1,1,1,,,23148,15,2024-01-31T00:00:00
288747,11655067,4,St Johns Rd,Beresford Ave,Willard Ave,EB,2024-01-17,,,,0,0,0,0,0,0,9,19,21,23,24,25,26,27,28,29,30,32,34,,135,115,280,1018,1760,975,223,40,1,,,,,,,,,,,,4547,15,2024-01-31T00:00:00
288748,11655628,5,Oak St,Weston Rd,Gary Dr,EB,2024-01-17,,Weekdays from 7 AM - 9 PM,20,18,24,28,30,33,35,36,38,39,40,41,43,44,45,46,47,49,51,53,,25,38,79,124,256,400,613,980,700,293,80,23,2,2,1,,,,,,3616,2,2024-01-20T00:00:00
288749,11655625,5,Weston Road,Jane St,Lambton Ave,WB,2024-01-17,,Weekdays from 7 AM - 9 PM,20,11,16,19,22,25,27,30,32,34,36,38,39,41,43,44,46,48,51,55,,2299,3756,5292,6630,8035,11023,14600,14661,10610,5582,2241,748,291,85,35,14,10,4,2,2,85920,15,2024-01-31T00:00:00
288750,11655077,4,Gilmour Ave,Vernon St,Annette St,SB,2024-01-17,,Weekdays from 7 AM - 9 PM,20,0,0,5,6,7,11,14,15,17,18,20,22,24,25,27,28,30,31,34,,1417,552,999,843,1033,663,196,25,11,1,,,,,,,,,,,5740,15,2024-01-31T00:00:00
288751,11656700,7,Grandravine Dr,Sentinel Rd,Sharpecroft Blvd,WB,2024-01-16,,Weekdays from 7 AM - 9 PM,20,18,29,31,33,34,36,37,38,38,39,40,41,42,43,44,45,47,48,51,,2204,353,315,668,2069,7321,16816,16791,8321,2456,604,129,48,15,3,3,1,,,,58117,16,2024-01-31T00:00:00
288752,11662830,19,Danforth Ave,Coxwell Ave,Glebemount Ave,WB,2024-01-16,,Weekdays from 7 AM - 9 PM,20,6,9,14,18,20,23,25,27,29,30,32,34,35,37,38,40,42,44,47,,12180,2685,4820,7132,8846,10670,10943,7966,3562,1168,303,94,22,10,3,,2,1,1,,70408,16,2024-01-31T00:00:00
288753,11595831,16,Don Mills Rd,The Donway E,Lawrence Ave E,NB,2024-01-16,,Weekdays from 7 AM - 9 PM,20,16,24,29,34,38,42,44,46,48,50,51,53,54,56,58,59,61,64,68,,300,283,387,469,601,650,828,1380,2595,3565,3024,1792,769,291,118,38,22,8,4,3,17127,3,2024-01-18T00:00:00
288754,11664385,22,Burnt Bark Dr,Treerun Ave,Sandwood Blvd,WB,2024-01-16,,Weekdays from 7 AM - 9 PM,20,0,0,7,8,8,9,9,9,10,10,11,12,14,17,20,22,24,27,30,,4726,3663,1004,1227,1135,452,77,12,6,9,8,8,11,7,6,4,3,2,,2,12362,16,2024-01-31T00:00:00
288755,11666021,25,Deep Dene Drive,Bramber Road,Acland Crescent,SB,2024-01-16,,Weekdays from 7 AM - 9 PM,20,0,0,9,17,22,25,27,28,29,30,31,32,33,34,35,36,37,39,42,,719,310,445,673,1785,3122,1942,651,181,61,23,10,4,1,1,,,,,,9928,16,2024-01-31T00:00:00
288756,11666020,25,Collinsgrove Rd,Kingston Rd,Lawrence Ave E,NB,2024-01-16,,Weekdays from 7 AM - 9 PM,20,5,10,19,26,30,33,35,36,37,39,40,41,42,43,44,46,47,49,53,,1014,548,495,693,953,1997,4301,4564,2786,1160,413,131,40,10,3,3,,,1,,19112,16,2024-01-31T00:00:00
288757,11666010,25,Littles Rd,Old Finch Ave,Sewells Rd,NB,2024-01-16,,Weekdays from 7 AM - 9 PM,20,0,14,21,25,28,30,31,33,34,35,36,37,38,40,41,42,44,46,49,,633,261,471,859,1659,3126,3814,2771,1438,502,151,41,24,6,4,2,,,,,15762,16,2024-01-31T00:00:00
288758,11664386,22,Birchmount Rd,Brookmill Blvd,L'Amoreaux Dr,SB,2024-01-16,,Weekdays from 7 AM - 9 PM,20,14,21,26,30,33,37,40,43,45,47,49,51,52,54,56,57,59,62,65,,1814,2689,3042,3696,5691,7500,7980,9610,16608,23161,18166,8851,3373,1163,359,116,50,7,5,4,113885,16,2024-01-31T00:00:00
288759,11665435,24,Ellesmere Rd,McCowan Rd,Parkington Cres,EB,2024-01-16,,Weekdays from 7 AM - 9 PM,20,9,13,16,19,22,25,27,30,32,34,37,39,41,43,46,49,51,55,59,,3584,5550,6593,7827,8368,11588,13159,10905,8146,6408,4020,1876,694,191,70,27,11,4,4,1,89026,16,2024-01-31T00:00:00
